iter	Passed	Remaining
401	10653	15847
402	10669	15806
403	10692	15774
404	10711	15736
405	10725	15692
406	10745	15656
407	10763	15618
408	10778	15574
409	10797	15537
410	10814	15498
411	10829	15455
412	10844	15413
413	10864	15377
414	10877	15333
415	10895	15295
416	10913	15258
417	10932	15221
418	10954	15189
419	10968	15147
420	10989	15113
421	11006	15075
422	11022	15035
423	11041	14999
424	11058	14961
425	11073	14920
426	11089	14880
427	11108	14845
428	11126	14808
429	11151	14781
430	11171	14748
431	11191	14714
432	11215	14686
433	11235	14652
434	11261	14626
435	11283	14595
436	11306	14566
437	11324	14530
438	11340	14491
439	11356	14454
440	11374	14417
441	11391	14380
442	11409	14346
443	11428	14311
444	11445	14275
445	11461	14236
446	11473	14194
447	11487	14154
448	11502	14115
449	11519	14079
450	11532	14038
451	11546	13998
452	11560	13959
453	11578	13924
454	11594	13887
455	11610	13851
456	11624	13812
457	11640	13775
458	11657	13739
459	11673	13703
460	11691	13670
461	11705	13631
462	11720	13593
463	11735	13556
464	11749	13517
465	11764	13480
466	11782	13447
467	11795	13408
468	11811	13372
469	11832	13342
470	11850	13309
471	11868	13276
472	11882	13239
473	11899	13204
474	11918	13172
475	11941	13146
476	11958	13112
477	11978	13080
478	11995	13047
479	12011	13012
480	12026	12977
481	12043	12942
482	12060	12909
483	12074	12873
484	12093	12841
485	12110	12808
486	12126	12773
487	12141	12738
488	12154	12701
489	12169	12665
490	12185	12632
491	12200	12597
492	12215	12562
493	12231	12528
494	12246	12494
495	12263	12460
496	12276	12424
497	12290	12389
498	12302	12352
499	12314	12314
500	12330	12281
501	12345	12246
502	12361	12214
503	12375	12179
504	12388	12143
505	12403	12109
506	12417	12074
507	12432	12041
508	12448	12008
509	12463	11974
510	12474	11937
511	12489	11904
512	12506	11872
513	12519	11837
514	12531	11801
515	12548	11770
516	12564	11738
517	12582	11707
518	12596	11674
519	12610	11640
520	12622	11604
521	12640	11575
522	12653	11540
523	12668	11507
524	12685	11476
525	12699	11444
526	12712	11410
527	12724	11374
528	12736	11340
529	12748	11304
530	12759	11269
531	12771	11235
532	12782	11199
533	12792	11163
534	12802	11127
535	12815	11094
536	12827	11060
537	12840	11027
538	12850	10991
539	12864	10958
540	12877	10925
541	12886	10889
542	12897	10854
543	12908	10820
544	12919	10785
545	12928	10750
546	12939	10715
547	12951	10682
548	12962	10648
549	12977	10617
550	12987	10583
551	12996	10547
552	13006	10513
553	13015	10478
554	13027	10445
555	13039	10412
556	13051	10379
557	13061	10346
558	13071	10312
559	13082	10278
560	13094	10246
561	13104	10213
562	13115	10180
563	13126	10147
564	13138	10115
565	13148	10082
566	13160	10050
567	13170	10017
568	13181	9984
569	13191	9951
570	13202	9919
571	13212	9886
572	13222	9853
573	13233	9821
574	13246	9790
575	13258	9759
576	13270	9728
577	13281	9696
578	13292	9665
579	13304	9634
580	13315	9603
581	13326	9571
582	13338	9540
583	13352	9511
584	13363	9480
585	13373	9448
586	13384	9417
587	13396	9386
588	13407	9355
589	13417	9323
590	13426	9291
591	13437	9260
592	13448	9230
593	13459	9199
594	13470	9168
595	13479	9136
596	13489	9106
597	13499	9074
598	13508	9043
599	13518	9012
600	13528	8981
601	13539	8951
602	13549	8920
603	13558	8889
604	13567	8858
605	13576	8826
606	13583	8794
607	13591	8763
608	13598	8730
609	13607	8699
610	13614	8667
611	13623	8637
612	13630	8605
613	13639	8574
614	13646	8543
615	13654	8511
616	13661	8480
617	13669	8449
618	13676	8418
619	13684	8387
620	13691	8355
621	13698	8324
622	13705	8293
623	13712	8262
624	13720	8232
625	13727	8201
626	13735	8170
627	13742	8140
628	13750	8110
629	13756	8079
630	13764	8049
631	13772	8019
632	13779	7988
633	13787	7959
634	13794	7928
635	13801	7899
636	13807	7868
637	13815	7838
638	13822	7809
639	13829	7779
640	13837	7749
641	13844	7720
642	13851	7690
643	13858	7660
644	13866	7631
645	13873	7602
